"_ResourceId",duration,"count_"
"/subscriptions/0f4aef05-7409-4267-a0d8-ecb192742007/resourcegroups/load-2-appservice-linux_group/providers/microsoft.insights/components/load-2-appservice-linux",8327,1
"/subscriptions/0f4aef05-7409-4267-a0d8-ecb192742007/resourcegroups/load-2-appservice-linux_group/providers/microsoft.insights/components/load-2-appservice-linux",8360,1
"/subscriptions/0f4aef05-7409-4267-a0d8-ecb192742007/resourcegroups/load-2-appservice-linux_group/providers/microsoft.insights/components/load-2-appservice-linux",8449,1
"/subscriptions/0f4aef05-7409-4267-a0d8-ecb192742007/resourcegroups/load-2-appservice-linux_group/providers/microsoft.insights/components/load-2-appservice-linux",9226,1
"/subscriptions/0f4aef05-7409-4267-a0d8-ecb192742007/resourcegroups/load-2-appservice-linux_group/providers/microsoft.insights/components/load-2-appservice-linux",9240,1
"/subscriptions/0f4aef05-7409-4267-a0d8-ecb192742007/resourcegroups/load-2-appservice-linux_group/providers/microsoft.insights/components/load-2-appservice-linux",9259,1
"/subscriptions/0f4aef05-7409-4267-a0d8-ecb192742007/resourcegroups/load-2-appservice-linux_group/providers/microsoft.insights/components/load-2-appservice-linux",9268,1
"/subscriptions/0f4aef05-7409-4267-a0d8-ecb192742007/resourcegroups/load-2-appservice-linux_group/providers/microsoft.insights/components/load-2-appservice-linux",9306,1
"/subscriptions/0f4aef05-7409-4267-a0d8-ecb192742007/resourcegroups/load-2-appservice-linux_group/providers/microsoft.insights/components/load-2-appservice-linux",9386,1
"/subscriptions/0f4aef05-7409-4267-a0d8-ecb192742007/resourcegroups/load-2-appservice-linux_group/providers/microsoft.insights/components/load-2-appservice-linux",9389,1
"/subscriptions/0f4aef05-7409-4267-a0d8-ecb192742007/resourcegroups/load-2-appservice-linux_group/providers/microsoft.insights/components/load-2-appservice-linux",9423,1
"/subscriptions/0f4aef05-7409-4267-a0d8-ecb192742007/resourcegroups/load-2-appservice-linux_group/providers/microsoft.insights/components/load-2-appservice-linux",10201,1
"/subscriptions/0f4aef05-7409-4267-a0d8-ecb192742007/resourcegroups/load-2-appservice-linux_group/providers/microsoft.insights/components/load-2-appservice-linux",10242,1
"/subscriptions/0f4aef05-7409-4267-a0d8-ecb192742007/resourcegroups/load-2-appservice-linux_group/providers/microsoft.insights/components/load-2-appservice-linux",10249,1
"/subscriptions/0f4aef05-7409-4267-a0d8-ecb192742007/resourcegroups/load-2-appservice-linux_group/providers/microsoft.insights/components/load-2-appservice-linux",10250,1
"/subscriptions/0f4aef05-7409-4267-a0d8-ecb192742007/resourcegroups/load-2-appservice-linux_group/providers/microsoft.insights/components/load-2-appservice-linux",10256,1
"/subscriptions/0f4aef05-7409-4267-a0d8-ecb192742007/resourcegroups/load-2-appservice-linux_group/providers/microsoft.insights/components/load-2-appservice-linux",10380,1
"/subscriptions/0f4aef05-7409-4267-a0d8-ecb192742007/resourcegroups/load-2-appservice-linux_group/providers/microsoft.insights/components/load-2-appservice-linux",11220,1
"/subscriptions/0f4aef05-7409-4267-a0d8-ecb192742007/resourcegroups/load-2-appservice-linux_group/providers/microsoft.insights/components/load-2-appservice-linux",11245,1
"/subscriptions/0f4aef05-7409-4267-a0d8-ecb192742007/resourcegroups/load-2-appservice-linux_group/providers/microsoft.insights/components/load-2-appservice-linux",11267,1
"/subscriptions/0f4aef05-7409-4267-a0d8-ecb192742007/resourcegroups/load-2-appservice-linux_group/providers/microsoft.insights/components/load-2-appservice-linux",11279,1
"/subscriptions/0f4aef05-7409-4267-a0d8-ecb192742007/resourcegroups/load-2-appservice-linux_group/providers/microsoft.insights/components/load-2-appservice-linux",11285,1
"/subscriptions/0f4aef05-7409-4267-a0d8-ecb192742007/resourcegroups/load-2-appservice-linux_group/providers/microsoft.insights/components/load-2-appservice-linux",11294,1
"/subscriptions/0f4aef05-7409-4267-a0d8-ecb192742007/resourcegroups/load-2-appservice-linux_group/providers/microsoft.insights/components/load-2-appservice-linux",11307,1
